current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,T1,Eric Cole,Eric Cole,-8.0,-8,64.0,,,,64.0,8.0,-0.2388615271877175,3.0566830836873695,15.17,99.862,47.471999999999994,67.35600000000001,86.08,0.00748,3.766,0.0961447592499164,0.1817130358334548,46.0,45.0
2,T1,Max Greyserman,Max Greyserman,-8.0,-8,64.0,,,,64.0,8.0,-0.061812477670774,3.162912513397536,17.248,99.888,51.148,70.708,87.618,0.01092,5.104,0.1214722169603576,0.2188392681145176,9.0,7.0
3,T3,Ben Kohles,Ben Kohles,-7.0,-7,65.0,,,,65.0,7.0,-0.2382748324175539,2.657035100549468,6.318,99.224,28.546,48.065999999999995,71.812,0.00714,3.988,0.0987329653552542,0.185754349378747,78.0,75.0
4,T3,Chris Kirk,Chris Kirk,-7.0,-7,65.0,,,,65.0,7.0,-0.0332209992562564,2.7800674004462462,7.466,99.322,31.796000000000003,51.806,75.066,0.01048,5.448,0.1268365560299459,0.2264425104562227,10.0,6.0
5,T3,Jackson Suber,Jackson Suber,-7.0,-7,65.0,,,,65.0,7.0,-0.2515890365691364,2.6490465780585186,6.117999999999999,99.252,27.804000000000002,47.974,71.624,0.00666,3.5680000000000005,0.0947290960929963,0.1786375187038188,110.0,105.0
6,T3,Mackenzie Hughes,Mackenzie Hughes,-7.0,-7,65.0,,,,65.0,7.0,-0.264106688555122,2.641535986866927,6.304,99.25,28.110000000000003,47.786,71.65,0.00692,3.71,0.0941968191441068,0.1778140729648841,97.0,91.0
7,T3,Neal Shipley,Neal Shipley,-7.0,-7,65.0,,,,65.0,7.0,-0.2493541242052694,2.6503875254768388,6.17,99.276,28.292,48.134,71.718,0.00682,3.748,0.0949216295758829,0.1783014358214798,104.0,97.0
8,T3,Peter Malnati,Peter Malnati,-7.0,-7,65.0,,,,65.0,7.0,-0.2496778029144457,2.6501933182513326,6.202,99.236,28.338,48.034,71.92,0.0079,3.874,0.0959889421948124,0.1796475383478165,19.0,11.0
9,T9,Austin Smotherman,Austin Smotherman,-6.0,-6,66.0,,,,66.0,6.0,-0.2500098212750186,2.2499941072349894,2.358,97.042,13.883999999999999,28.677999999999997,52.622,0.00772,3.858000000000001,0.0966359314579627,0.1822092848974826,26.0,17.0
10,T9,Cam Davis,Cam Davis,-6.0,-6,66.0,,,,66.0,6.0,-1.618023231692813,1.4291860609843128,0.596,93.80199999999999,4.874,12.908,30.5,0.00028,0.2259999999999999,0.0130125981095351,0.031398261074083,131.0,121.0
