current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,Rory McIlroy,Rory McIlroy,-12.0,-12,67,65,132,6.0,1.21426484911032,3.1285589094661925,87.888,99.482,99.964,100.0,0.0540866254241419,14.734,0.4033774886870029,0.4861613348101554,6.0,5.0
2,T2,Patrick Reed,Patrick Reed,-6.0,-6,69,69,138,3.0,1.351992427351558,2.011195456410935,3.9379999999999997,61.019999999999996,85.114,97.796,0.0349653722016786,13.900000000000002,0.3571984966684103,0.6065555324295058,9.0,7.0
3,T2,Sam Burns,Sam Burns,-6.0,-6,67,71,138,3.0,0.5581895897669229,1.5349137538601538,2.34,50.129999999999995,77.546,96.00999999999999,0.0172147686457283,3.418,0.1815164178030658,0.3811264000645288,24.0,21.0
4,T4,Justin Rose,Justin Rose,-5.0,-5,70,69,139,2.5,-0.3294551082563318,0.8023269350462009,0.482,23.544,52.088,85.078,0.0041021051695877,2.986,0.119277126471859,0.1802395291699986,66.0,62.0
5,T4,Shane Lowry,Shane Lowry,-5.0,-5,70,69,139,2.5,0.4586235369924976,1.2751741221954984,0.942,33.108,62.663999999999994,90.564,0.0124052840747665,1.744,0.1784760205695719,0.3270926588491667,32.0,27.0
6,T4,Tommy Fleetwood,Tommy Fleetwood,-5.0,-5,71,68,139,2.5,1.2300962048744135,1.738057722924648,1.5879999999999999,43.275999999999996,72.264,94.148,0.060817912184692,14.092,0.3123476343119318,0.5660223693722146,5.0,-1.0
7,T7,Cameron Young,Cameron Young,-4.0,-4,73,67,140,2.0,0.6575638346395188,1.1945383007837114,0.418,21.942,49.726,84.054,0.0230533296308974,8.948,0.2376967352387035,0.4297535300774601,18.0,11.0
8,T7,Haotong Li,Haotong Li,-4.0,-4,71,69,140,2.0,0.0,0.8,0.254,15.85,40.526,77.52799999999999,,,,,,
9,T7,Jason Day,Jason Day,-4.0,-4,69,71,140,2.0,0.118514028483485,0.871108417090091,0.272,16.875999999999998,41.988,78.782,0.0068067397247781,1.66,0.1265196220389882,0.207671580522675,53.0,44.0
10,T7,Kristoffer Reitan,Kristoffer Reitan,-4.0,-4,72,68,140,2.0,0.0,0.8,0.26,16.142,41.028,78.086,,,,,,
