game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,home_decimal,away_decimal,source_match_ts,hours_delta,source_href
778545,2025-03-27,San Diego Padres,Atlanta Braves,101,-132,2.01,1.76,2025-03-27 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/san-diego-atlanta-2025-03-27/1148078
778546,2025-03-27,Los Angeles Dodgers,Detroit Tigers,-175,135,1.57,2.35,2025-03-27 23:10:00+00:00,0.0,/baseball-odds/usa-mlb/la-dodgers-detroit-2025-03-28/1148085
778547,2025-03-27,Seattle Mariners,Athletics,-175,131,1.57,2.31,2025-03-28 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/seattle-athletics-2025-03-28/1149926
778551,2025-03-27,St. Louis Cardinals,Minnesota Twins,-109,-116,1.92,1.86,2025-03-27 20:15:00+00:00,0.0,/baseball-odds/usa-mlb/st-louis-minnesota-2025-03-27/1148084
778552,2025-03-27,Arizona Diamondbacks,Chicago Cubs,-119,-102,1.84,1.98,2025-03-28 02:10:00+00:00,0.0,/baseball-odds/usa-mlb/arizona-cubs-2025-03-28/1148086
778553,2025-03-27,Texas Rangers,Boston Red Sox,102,-133,2.02,1.75,2025-03-27 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/texas-boston-2025-03-27/1148077
778554,2025-03-27,Chicago White Sox,Los Angeles Angels,138,-164,2.38,1.61,2025-03-27 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/white-sox-la-angels-2025-03-27/1148082
778555,2025-03-27,Washington Nationals,Philadelphia Phillies,128,-164,2.28,1.61,2025-03-27 20:05:00+00:00,0.0,/baseball-odds/usa-mlb/washington-philadelphia-2025-03-27/1148076
778556,2025-03-27,Toronto Blue Jays,Baltimore Orioles,-120,-105,1.83,1.95,2025-03-27 19:07:00+00:00,0.0,/baseball-odds/usa-mlb/toronto-baltimore-2025-03-27/1148075
778557,2025-03-27,New York Yankees,Milwaukee Brewers,-145,117,1.69,2.17,2025-03-27 19:05:00+00:00,0.0,/baseball-odds/usa-mlb/ny-yankees-milwaukee-2025-03-27/1148074
778558,2025-03-27,Kansas City Royals,Cleveland Guardians,-182,149,1.55,2.49,2025-03-27 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/kansas-city-cleveland-2025-03-27/1148079
778559,2025-03-27,Houston Astros,New York Mets,-120,-105,1.83,1.95,2025-03-27 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/houston-ny-mets-2025-03-27/1148080
778561,2025-03-27,Cincinnati Reds,San Francisco Giants,-112,-112,1.89,1.89,2025-03-27 20:10:00+00:00,0.0,/baseball-odds/usa-mlb/cincinnati-san-francisco-2025-03-27/1148083
