game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
823244,2026-03-25,San Francisco Giants,New York Yankees,103,-121,https://fantasydata.com/mlb/new-york-yankees-odds
823081,2026-03-26,St. Louis Cardinals,Tampa Bay Rays,113,-133,https://fantasydata.com/mlb/st-louis-cardinals-odds
823163,2026-03-26,Seattle Mariners,Cleveland Guardians,-185,154,https://fantasydata.com/mlb/cleveland-guardians-odds
823325,2026-03-26,San Diego Padres,Detroit Tigers,107,-127,https://fantasydata.com/mlb/detroit-tigers-odds
823486,2026-03-26,Philadelphia Phillies,Texas Rangers,-160,135,https://fantasydata.com/mlb/philadelphia-phillies-odds
823649,2026-03-26,New York Mets,Pittsburgh Pirates,-120,102,https://fantasydata.com/mlb/new-york-mets-odds
823812,2026-03-26,Milwaukee Brewers,Chicago White Sox,-193,161,https://fantasydata.com/mlb/chicago-white-sox-odds
823974,2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,-288,234,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824218,2026-03-26,Houston Astros,Los Angeles Angels,-180,150,https://fantasydata.com/mlb/houston-astros-odds
824541,2026-03-26,Cincinnati Reds,Boston Red Sox,135,-160,https://fantasydata.com/mlb/boston-red-sox-odds
824704,2026-03-26,Chicago Cubs,Washington Nationals,-213,178,https://fantasydata.com/mlb/chicago-cubs-odds
824865,2026-03-26,Baltimore Orioles,Minnesota Twins,-141,119,https://fantasydata.com/mlb/baltimore-orioles-odds
822839,2026-03-27,Toronto Blue Jays,Athletics,-179,149,https://fantasydata.com/mlb/athletics-odds
823162,2026-03-27,Seattle Mariners,Cleveland Guardians,-173,145,https://fantasydata.com/mlb/cleveland-guardians-odds
823243,2026-03-27,San Francisco Giants,New York Yankees,113,-134,https://fantasydata.com/mlb/new-york-yankees-odds
823324,2026-03-27,San Diego Padres,Detroit Tigers,-133,113,https://fantasydata.com/mlb/detroit-tigers-odds
823893,2026-03-27,Miami Marlins,Colorado Rockies,-194,162,https://fantasydata.com/mlb/colorado-rockies-odds
823971,2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,-241,199,https://fantasydata.com/mlb/arizona-diamondbacks-odds
824216,2026-03-27,Houston Astros,Los Angeles Angels,-173,144,https://fantasydata.com/mlb/houston-astros-odds
824946,2026-03-27,Atlanta Braves,Kansas City Royals,-145,121,https://fantasydata.com/mlb/atlanta-braves-odds
822838,2026-03-28,Toronto Blue Jays,Athletics,-197,164,https://fantasydata.com/mlb/athletics-odds
823082,2026-03-28,St. Louis Cardinals,Tampa Bay Rays,-104,-115,https://fantasydata.com/mlb/st-louis-cardinals-odds
