game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source
778545,2025-03-27,San Diego Padres,Atlanta Braves,101,-132,checkbestodds
778546,2025-03-27,Los Angeles Dodgers,Detroit Tigers,-175,135,checkbestodds
778547,2025-03-27,Seattle Mariners,Athletics,-175,131,checkbestodds
778551,2025-03-27,St. Louis Cardinals,Minnesota Twins,-109,-116,checkbestodds
778552,2025-03-27,Arizona Diamondbacks,Chicago Cubs,-119,-102,checkbestodds
778553,2025-03-27,Texas Rangers,Boston Red Sox,102,-133,checkbestodds
778554,2025-03-27,Chicago White Sox,Los Angeles Angels,138,-164,checkbestodds
778555,2025-03-27,Washington Nationals,Philadelphia Phillies,128,-164,checkbestodds
778556,2025-03-27,Toronto Blue Jays,Baltimore Orioles,-120,-105,checkbestodds
778557,2025-03-27,New York Yankees,Milwaukee Brewers,-145,117,checkbestodds
778558,2025-03-27,Kansas City Royals,Cleveland Guardians,-182,149,checkbestodds
778559,2025-03-27,Houston Astros,New York Mets,-120,-105,checkbestodds
778561,2025-03-27,Cincinnati Reds,San Francisco Giants,-112,-112,checkbestodds
778562,2025-03-27,Miami Marlins,Pittsburgh Pirates,121,-156,checkbestodds
778518,2025-03-28,Houston Astros,New York Mets,-118,-105,checkbestodds
778541,2025-03-28,Seattle Mariners,Athletics,-137,109,checkbestodds
778542,2025-03-28,San Diego Padres,Atlanta Braves,-149,125,checkbestodds
778543,2025-03-28,Arizona Diamondbacks,Chicago Cubs,-154,123,checkbestodds
778544,2025-03-28,Los Angeles Dodgers,Detroit Tigers,-222,175,checkbestodds
778548,2025-03-28,Miami Marlins,Pittsburgh Pirates,108,-143,checkbestodds
778549,2025-03-28,Toronto Blue Jays,Baltimore Orioles,-133,109,checkbestodds
778550,2025-03-28,Texas Rangers,Boston Red Sox,-104,-116,checkbestodds
778560,2025-03-28,Tampa Bay Rays,Colorado Rockies,-227,163,checkbestodds
778520,2025-03-29,San Diego Padres,Atlanta Braves,123,-154,checkbestodds
778521,2025-03-29,Seattle Mariners,Athletics,-175,140,checkbestodds
778528,2025-03-29,St. Louis Cardinals,Minnesota Twins,-110,-112,checkbestodds
778529,2025-03-29,Kansas City Royals,Cleveland Guardians,-119,-109,checkbestodds
778530,2025-03-29,Houston Astros,New York Mets,-125,-102,checkbestodds
778531,2025-03-29,Texas Rangers,Boston Red Sox,-119,-104,checkbestodds
