denver_local,matchup,side,pitcher,has_starter_history,expected_ks,p_over_5_5,p_over_6_5,status
17:40 MDT,New York Mets @ Milwaukee Brewers,home,Brandon Sproat,True,5.62,0.492,0.333,Pre-Game
17:07 MDT,Tampa Bay Rays @ Toronto Blue Jays,home,Kevin Gausman,True,5.56,0.481,0.323,Warmup
19:38 MDT,St. Louis Cardinals @ Los Angeles Angels,away,Matthew Liberatore,True,5.37,0.449,0.294,Pre-Game
19:40 MDT,Cincinnati Reds @ Seattle Mariners,away,Chase Burns,True,5.34,0.444,0.29,Pre-Game
19:40 MDT,Cincinnati Reds @ Seattle Mariners,home,Luis Castillo,True,5.18,0.416,0.265,Pre-Game
18:10 MDT,Miami Marlins @ Houston Astros,home,Tatsuya Imai,True,5.17,0.414,0.263,Pre-Game
19:40 MDT,Athletics @ Arizona Diamondbacks,home,Kohl Drake,False,4.96,0.377,0.232,Pre-Game
17:15 MDT,San Diego Padres @ Atlanta Braves,away,Walker Buehler,True,4.78,0.346,0.207,Warmup
17:07 MDT,Tampa Bay Rays @ Toronto Blue Jays,away,Drew Rasmussen,True,4.77,0.345,0.206,Warmup
17:15 MDT,San Diego Padres @ Atlanta Braves,home,Reynaldo López,True,4.71,0.333,0.197,Warmup
19:38 MDT,St. Louis Cardinals @ Los Angeles Angels,home,Walbert Ureña,True,4.7,0.331,0.195,Pre-Game
18:05 MDT,Chicago White Sox @ Texas Rangers,home,Kumar Rocker,True,4.68,0.329,0.193,Pre-Game
18:05 MDT,Detroit Tigers @ Chicago Cubs,home,David Peterson,True,4.61,0.316,0.184,Pre-Game
17:40 MDT,San Francisco Giants @ Kansas City Royals,home,Luinder Avila,True,4.34,0.27,0.149,Pre-Game
18:05 MDT,Detroit Tigers @ Chicago Cubs,away,Framber Valdez,True,4.28,0.261,0.142,Pre-Game
17:40 MDT,New York Mets @ Milwaukee Brewers,away,Zac Thornton,True,4.25,0.255,0.138,Pre-Game
18:05 MDT,Chicago White Sox @ Texas Rangers,away,Noah Schultz,True,4.21,0.249,0.134,Pre-Game
19:40 MDT,Athletics @ Arizona Diamondbacks,away,Jack Perkins,True,4.18,0.243,0.13,Pre-Game
17:40 MDT,San Francisco Giants @ Kansas City Royals,away,Tyler Mahle,True,4.17,0.242,0.129,Pre-Game
18:40 MDT,Washington Nationals @ Colorado Rockies,home,Michael Lorenzen,True,3.88,0.197,0.099,Pre-Game
18:10 MDT,Miami Marlins @ Houston Astros,away,Tyler Phillips,True,3.68,0.167,0.08,Pre-Game
18:40 MDT,Washington Nationals @ Colorado Rockies,away,Carson Palmquist,True,2.98,0.082,0.032,Pre-Game
