game_id,game_date,week,home_team,away_team,book,market,line,price,away_spread_odds,home_moneyline,away_moneyline,total_line,source_spread_line
2025_01_DAL_PHI,2025-09-04,1,PHI,DAL,nflverse_pfr,spread,-8.5,-110,-110,-425,330,47.5,8.5
2025_01_KC_LAC,2025-09-05,1,LAC,KC,nflverse_pfr,spread,3.0,100,-120,145,-175,47.5,-3.0
2025_01_ARI_NO,2025-09-07,1,NO,ARI,nflverse_pfr,spread,6.0,-112,-108,220,-270,44.5,-6.0
2025_01_BAL_BUF,2025-09-07,1,BUF,BAL,nflverse_pfr,spread,1.5,-102,-118,110,-130,50.5,-1.5
2025_01_CAR_JAX,2025-09-07,1,JAX,CAR,nflverse_pfr,spread,-4.5,-110,-110,-205,170,45.5,4.5
2025_01_CIN_CLE,2025-09-07,1,CLE,CIN,nflverse_pfr,spread,5.5,-115,-105,195,-238,47.5,-5.5
2025_01_DET_GB,2025-09-07,1,GB,DET,nflverse_pfr,spread,-1.5,-105,-115,-120,100,48.5,1.5
2025_01_HOU_LA,2025-09-07,1,LA,HOU,nflverse_pfr,spread,-3.5,-102,-118,-166,140,43.5,3.5
2025_01_LV_NE,2025-09-07,1,NE,LV,nflverse_pfr,spread,-2.5,-120,100,-155,130,44.5,2.5
2025_01_MIA_IND,2025-09-07,1,IND,MIA,nflverse_pfr,spread,-1.5,-102,-118,-112,-108,47.5,1.5
2025_01_NYG_WAS,2025-09-07,1,WAS,NYG,nflverse_pfr,spread,-6.0,-112,-108,-298,240,45.5,6.0
2025_01_PIT_NYJ,2025-09-07,1,NYJ,PIT,nflverse_pfr,spread,3.0,-110,-110,130,-155,37.5,-3.0
2025_01_SF_SEA,2025-09-07,1,SEA,SF,nflverse_pfr,spread,2.5,-115,-105,114,-135,43.5,-2.5
2025_01_TB_ATL,2025-09-07,1,ATL,TB,nflverse_pfr,spread,1.5,-118,-102,-105,-115,47.5,-1.5
2025_01_TEN_DEN,2025-09-07,1,DEN,TEN,nflverse_pfr,spread,-8.5,-115,-105,-455,350,42.5,8.5
2025_01_MIN_CHI,2025-09-08,1,CHI,MIN,nflverse_pfr,spread,1.5,-120,100,-108,-112,43.5,-1.5
