current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,Jackson Suber,Jackson Suber,-5.0,-5,65.0,,,,65.0,5.0,-0.2515890365691364,1.8490465780585181,17.132,99.866,50.02799999999999,69.674,87.112,0.00132,1.166,0.0605590960929963,0.1158695187038188,140.0,139.0
2,T2,Daniel Brown,Daniel Brown,-4.0,-4,66.0,,,,66.0,4.0,-0.2555489933119502,1.44667060401283,7.414,99.39,30.706,50.636,74.24199999999999,0.0018,1.274,0.0621143970447479,0.1178278031525491,65.0,63.0
3,T2,Sungjae Im,Sungjae Im,-4.0,-4,66.0,,,,66.0,4.0,-0.0522268096306321,1.5686639142216208,8.718,99.476,34.089999999999996,54.068000000000005,76.632,0.00284,1.908,0.0797897409332392,0.1484200843814381,43.0,40.0
4,T4,Alex Smalley,Alex Smalley,-3.0,-3,67.0,,,,67.0,3.0,-0.2622410668845384,1.0426553598692772,2.638,97.38799999999999,15.498000000000001,31.3,55.606,0.00154,1.25,0.0618541208263749,0.1181656831810338,117.0,113.0
5,T4,Bryson DeChambeau,Bryson DeChambeau,-3.0,-3,67.0,,,,67.0,3.0,1.4494169764529856,2.0696501858717915,10.686,99.06,38.576,58.908,80.446,0.0472,18.252,0.3725351412158313,0.516803672655674,3.0,-2.0
6,T4,Cameron Young,Cameron Young,-3.0,-3,67.0,,,,67.0,3.0,0.6575638346395188,1.5945383007837115,5.854,98.42,26.372,45.65,69.45400000000001,0.011,6.196,0.1812621467598855,0.2924698257583965,24.0,18.0
7,T4,Francesco Molinari,Francesco Molinari,-3.0,-3,67.0,,,,67.0,3.0,-0.2524448186642129,1.0485331088014724,2.724,97.516,15.494,30.947999999999997,55.832,0.00146,1.214,0.0613356211375974,0.1172408160438343,132.0,125.0
8,T4,MJ Daffue,MJ Daffue,-3.0,-3,67.0,,,,67.0,3.0,-0.2504335924460165,1.0497398445323902,2.604,97.524,15.501999999999999,31.146,55.888000000000005,0.00164,1.28,0.0615943304254883,0.117455095608384,92.0,84.0
9,T4,Pierceson Coody,Pierceson Coody,-3.0,-3,67.0,,,,67.0,3.0,-0.2453003033065005,1.0528198180161,2.642,97.444,15.876000000000001,31.528,55.962,0.00178,1.268,0.0620958175368198,0.1188756613297017,71.0,62.0
10,T4,Robert MacIntyre,Robert MacIntyre,-3.0,-3,67.0,,,,67.0,3.0,1.006141102752054,1.8036846616512325,7.568,98.756,31.546000000000003,51.464,74.67399999999999,0.02348,10.562,0.2590376735454153,0.3885271817475113,13.0,3.0
11,T4,Ryan Gerard,Ryan Gerard,-3.0,-3,67.0,,,,67.0,3.0,-0.2636606367767464,1.0418036179339523,2.758,97.626,15.443999999999999,31.137999999999998,55.403999999999996,0.00164,1.248,0.0614840955297318,0.1180411008458996,91.0,80.0
12,T4,Thomas Detry,Thomas Detry,-3.0,-3,67.0,,,,67.0,3.0,0.3706388192400402,1.4223832915440242,4.662,98.182,22.582,40.886,65.40599999999999,0.00682,4.072,0.1335833896172911,0.2259439747248317,31.0,19.0
13,T13,Bud Cauley,Bud Cauley,-2.0,-2,68.0,,,,68.0,2.0,-0.2639042004102152,0.641657479753871,0.7779999999999999,91.742,6.306000000000001,15.478,34.92,0.00162,1.218,0.06082966107623,0.1171987103186693,98.0,85.0
14,T13,Collin Morikawa,Collin Morikawa,-2.0,-2,68.0,,,,68.0,2.0,0.8176900651580042,1.2906140390948027,2.276,95.074,14.280000000000001,29.182000000000002,53.19199999999999,0.01602,7.902000000000001,0.2141776639435113,0.3369670851208941,20.0,6.0
15,T13,Henrik Stenson,Henrik Stenson,-2.0,-2,68.0,,,,68.0,2.0,-0.2497842517645992,0.6501294489412406,0.864,91.774,6.7299999999999995,15.792,35.484,0.00172,1.194,0.0616347704149614,0.1195149682990069,78.0,63.0
16,T13,Joakim Lagergren,Joakim Lagergren,-2.0,-2,68.0,,,,68.0,2.0,-0.2596687752345271,0.6441987348592838,0.7060000000000001,91.968,6.474,15.882,35.38,0.00154,1.266,0.06130899393462,0.1167075591542597,121.0,105.0
