current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,J.J. Spaun,J.J. Spaun,-47.0,-47,23.0,,,,163.0,15.666666666666666,0.0510416720921986,6.297291669921986,100.0,100.0,100.0,100.0,100.0,0.00986,7.558,0.2028139242076314,0.5120572636323366,20,19
2,2,Viktor Hovland,Viktor Hovland,-15.0,-15,64.0,66.0,65.0,,195.0,5.0,1.2901247890290275,2.7740748734174163,0.0,100.0,91.24,99.376,99.994,0.07696,32.734,0.5578574606296667,0.8307867459729854,3,1
3,3,Ryan Gerard,Ryan Gerard,-14.0,-14,65.0,65.0,66.0,,196.0,4.666666666666667,-0.2636606367767464,1.708470284600619,0.0,100.0,70.712,95.498,99.946,0.00546,4.71,0.1420790955297318,0.4208891008458997,22,19
4,T4,Adam Scott,Adam Scott,-12.0,-12,66.0,67.0,65.0,,198.0,4.0,0.7197873348767406,2.0318724009260443,0.0,100.0,43.54,85.414,99.598,0.03232,18.398,0.3795597869532109,0.7056039093218146,15,11
5,T4,Chris Gotterup,Chris Gotterup,-12.0,-12,64.0,67.0,67.0,,198.0,4.0,-0.2639762711778693,1.4416142372932785,0.0,100.0,33.594,79.078,99.256,0.00496,4.7780000000000005,0.1445868697778849,0.4213076359699265,26,21
6,T4,Ludvig Åberg,Ludvig Åberg,-12.0,-12,65.0,68.0,65.0,,198.0,4.0,0.8939920920731343,2.1363952552438805,0.0,100.0,45.256,85.97,99.668,0.04234,22.13,0.4307699379621197,0.7480471616980131,9,3
7,T4,Scottie Scheffler,Scottie Scheffler,-12.0,-12,65.0,67.0,66.0,,198.0,4.0,1.673621358733749,2.6041728152402497,0.0,100.0,52.852,89.962,99.83800000000001,0.13626,45.254,0.6748908314317315,0.890613171682019,1,-6
8,T8,Cameron Young,Cameron Young,-10.0,-10,70.0,62.0,68.0,,200.0,3.3333333333333335,0.6575638346395188,1.7278716341170448,0.0,100.0,13.352,54.248,96.13199999999999,0.0304,17.124,0.3622221467598855,0.6902778257583965,16,8
9,T8,Rory McIlroy,Rory McIlroy,-10.0,-10,68.0,69.0,63.0,,200.0,3.3333333333333335,1.21426484911032,2.0618922427995257,0.0,100.0,16.688,59.967999999999996,97.04,0.06918,30.622,0.5313788934594047,0.8160459778851781,5,-4
10,T10,Jacob Bridgeman,Jacob Bridgeman,-9.0,-9,68.0,67.0,66.0,,201.0,3.0,-0.2618033434559599,1.0429179939264241,0.0,100.0,3.92,28.24,86.632,0.0049,4.874,0.142331100984641,0.4184083715812079,28,18
11,T10,Min Woo Lee,Min Woo Lee,-9.0,-9,62.0,73.0,66.0,,201.0,3.0,0.8009227530980494,1.6805536518588298,0.0,100.0,6.532,37.694,91.374,0.03718,20.16,0.4002062122923739,0.7244315313649219,13,2
12,T10,Russell Henley,Russell Henley,-9.0,-9,70.0,65.0,66.0,,201.0,3.0,0.8424062328361588,1.7054437397016953,0.0,100.0,6.5920000000000005,38.052,91.55799999999999,0.0398,21.03,0.4183077403862931,0.7387288729128723,10,-2
13,T10,Sam Burns,Sam Burns,-9.0,-9,66.0,68.0,67.0,,201.0,3.0,0.5581895897669229,1.5349137538601538,0.0,100.0,5.75,35.082,90.262,0.02346,15.046,0.3319092190789073,0.6617180402211749,17,4
14,T14,Justin Rose,Justin Rose,-8.0,-8,68.0,65.0,69.0,,202.0,2.6666666666666665,-0.3294551082563318,0.8689936017128675,0.0,100.0,1.394,15.021999999999998,73.586,0.00442,4.258,0.1313646305595462,0.3974045609764809,30,16
15,T14,Matt Fitzpatrick,Matt Fitzpatrick,-8.0,-8,66.0,67.0,69.0,,202.0,2.6666666666666665,1.0734655716868826,1.7107460096787963,0.0,100.0,3.016,23.53,83.53,0.0563,26.334000000000003,0.4848121950489344,0.7849184057394516,7,-8
16,T14,Si Woo Kim,Si Woo Kim,-8.0,-8,69.0,68.0,65.0,,202.0,2.6666666666666665,-0.249128137541499,0.9171897841417672,0.0,100.0,1.478,15.158,74.59,0.00466,4.8340000000000005,0.1447454896961123,0.4241831399830991,29,13
17,T17,Alex Fitzpatrick,Alex Fitzpatrick,-7.0,-7,68.0,68.0,67.0,,203.0,2.3333333333333335,-0.2446460569905224,0.7865456991390201,0.0,100.0,0.44600000000000006,6.978,58.044,0.00528,4.836,0.1482965589976005,0.4270638091751816,24,7
18,T17,Collin Morikawa,Collin Morikawa,-7.0,-7,64.0,67.0,72.0,,203.0,2.3333333333333335,0.8176900651580042,1.423947372428136,0.0,100.0,0.882,11.174000000000001,67.244,0.03686,20.436,0.4073176639435114,0.7295750851208942,14,-4
19,T17,Tom Kim,Tom Kim,-7.0,-7,67.0,68.0,68.0,,203.0,2.3333333333333335,0.2813191379301036,1.1021248160913957,0.0,100.0,0.622,8.767999999999999,62.522,0.01462,10.558,0.2576069568196509,0.5854127535493294,18,-1
20,T17,Tommy Fleetwood,Tommy Fleetwood,-7.0,-7,66.0,70.0,67.0,,203.0,2.3333333333333335,1.2300962048744135,1.6713910562579817,0.0,100.0,1.17,12.848,71.158,0.07334,31.298,0.5382649199272922,0.8207190565076419,4,-16
21,T17,Wyndham Clark,Wyndham Clark,-7.0,-7,67.0,69.0,67.0,,203.0,2.3333333333333335,0.1212268317604055,1.0060694323895767,0.0,100.0,0.5760000000000001,8.23,61.217999999999996,0.01036,8.246,0.2172843347082051,0.5331956673750032,19,-2
22,22,Ryan Fox,Ryan Fox,-6.0,-6,66.0,68.0,70.0,,204.0,2.0,-0.2385593324558714,0.6568644005264772,0.0,100.0,0.126,2.73,39.372,0.0053,5.026,0.1470067108475457,0.4264300735118877,23,1
23,T23,Akshay Bhatia,Akshay Bhatia,-5.0,-5,65.0,69.0,71.0,,205.0,1.6666666666666667,0.8526048898518237,1.1782296005777608,0.0,100.0,0.064,1.79,32.096000000000004,0.03976,21.264,0.4208152597633116,0.7387126719419856,11,-12
24,T23,Gary Woodland,Gary Woodland,-5.0,-5,66.0,68.0,71.0,,205.0,1.6666666666666667,-0.2585509930978415,0.5115360708079618,0.0,100.0,0.038,0.96,23.314,0.00496,4.682,0.1417974602672223,0.4191713453665242,27,3
25,T23,Xander Schauffele,Xander Schauffele,-5.0,-5,67.0,71.0,67.0,,205.0,1.6666666666666667,1.279314746242736,1.4342555144123081,0.0,100.0,0.086,2.302,36.092,0.07704,32.626,0.5526707643119385,0.8266032577792526,2,-23
26,T26,Hideki Matsuyama,Hideki Matsuyama,-4.0,-4,69.0,70.0,67.0,,206.0,1.3333333333333333,1.0556121500663034,1.1667006233731154,0.0,100.0,0.016,0.626,19.189999999999998,0.05712,26.658,0.4843182162259922,0.7839665648745722,6,-20
27,T26,Patrick Cantlay,Patrick Cantlay,-4.0,-4,68.0,70.0,68.0,,206.0,1.3333333333333333,0.8089729933983808,1.0187171293723618,0.0,100.0,0.024,0.584,17.708,0.03768,20.312,0.4068874100892222,0.726690168052976,12,-15
28,T26,Robert MacIntyre,Robert MacIntyre,-4.0,-4,67.0,76.0,63.0,,206.0,1.3333333333333333,1.006141102752054,1.1370179949845656,0.0,100.0,0.032,0.582,18.614,0.04872,24.826,0.4670576735454153,0.7726071817475113,8,-20
