current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,Wyndham Clark,Wyndham Clark,-7.0,-7,64,53,,,117.0,-47.0,0.1599443319370505,-18.70403340083777,0.0,0.0,0.0,0.0,0.00145,1.585,0.0875858217121859,0.1569132339697705,71.0,70.0
2,2,Xander Schauffele,Xander Schauffele,-3.0,-3,71,46,,,117.0,-47.0,1.3686472513312338,-17.978811649201262,0.0,0.0,0.0,0.0,0.02195,11.485,0.2988498166567463,0.4352407846689393,9.0,7.0
3,T3,Sam Stevens,Sam Stevens,-2.0,-2,68,0,,,68.0,2.0,-0.0478967476306465,0.7712619514216121,0.0,45.528,72.58200000000001,93.362,0.0012,0.925,0.0678384132822142,0.1260295165703378,80.0,77.0
4,T3,Collin Morikawa,Collin Morikawa,-2.0,-2,73,53,,,126.0,-56.0,2.5,-20.900000000000002,0.0,0.0,0.0,0.0,0.1333,38.45,0.6213670962834812,0.7548294298460765,1.0,-3.0
5,T5,Ben James,Ben James,-1.0,-1,69,0,,,69.0,1.0,-0.6809450535060239,-0.008567032103614258,0.0,18.504,43.172,77.248,0.00025,0.305,0.0310055904119223,0.0610460239322236,132.0,127.0
6,T5,Brian Harman,Brian Harman,-1.0,-1,69,0,,,69.0,1.0,-0.0655579828607144,0.3606652102835714,0.0,26.118000000000002,53.366,83.958,0.001,0.975,0.0664696138914058,0.1216898762283951,90.0,84.0
7,T5,Ludvig Åberg,Ludvig Åberg,-1.0,-1,69,0,,,69.0,1.0,1.3235786652880026,1.1941471991728014,0.0,48.226,75.074,94.238,0.01955,10.805,0.2889837522310745,0.4255885694883941,10.0,3.0
8,T5,Max Greyserman,Max Greyserman,-1.0,-1,69,0,,,69.0,1.0,-0.7589706020875233,-0.055382361252513945,0.0,17.46,41.884,76.22,0.00015,0.175,0.0275088366793974,0.0550152334923453,136.0,128.0
9,T5,Rory McIlroy,Rory McIlroy,-1.0,-1,69,0,,,69.0,1.0,1.971723322759661,1.5830339936557967,0.0,59.230000000000004,82.692,96.662,0.0581,23.17,0.4633087677284172,0.6115573859837588,4.0,-5.0
10,T5,Ben Kohles,Ben Kohles,-1.0,-1,70,41,,,111.0,-41.0,-0.2033882117489362,-16.522032927049363,0.0,0.0,0.0,0.0,0.0006,0.6649999999999999,0.0567531450271804,0.1053193185383135,114.0,104.0
11,T5,Justin Rose,Justin Rose,-1.0,-1,71,40,,,111.0,-41.0,0.477783278232131,-16.113330033060723,0.0,0.0,0.0,0.0,0.00365,2.88,0.1284754361051815,0.2171971896086694,44.0,33.0
12,T5,Akshay Bhatia,Akshay Bhatia,-1.0,-1,70,49,,,119.0,-49.0,0.6292022175059291,-19.222478669496443,0.0,0.0,0.0,0.0,0.0048,3.845,0.1498566968671379,0.246053111368496,37.0,25.0
13,T5,Corey Conners,Corey Conners,-1.0,-1,69,55,,,124.0,-54.0,0.1185891404549397,-21.528846515727036,0.0,0.0,0.0,0.0,0.0015,1.395,0.0814053199080181,0.146114278866848,70.0,57.0
14,T5,Matt Fitzpatrick,Matt Fitzpatrick,-1.0,-1,67,60,,,127.0,-57.0,1.504317343267173,-21.897409594039697,0.0,0.0,0.0,0.0,0.02915,13.2,0.3312579417439018,0.4718761148827831,7.0,-7.0
15,T15,Keegan Bradley,Keegan Bradley,0.0,E,70,0,,,70.0,0.0,0.2767551016127975,0.1660530609676785,0.0,15.826,38.726,73.734,0.00285,1.955,0.1013009541543311,0.1765006174801898,53.0,38.0
16,T15,Keith Mitchell,Keith Mitchell,0.0,E,70,0,,,70.0,0.0,0.2634489731435487,0.1580693838861292,0.0,15.616,38.438,73.556,0.00185,1.885,0.099644002504002,0.1755049781846754,62.0,46.0
17,T15,Kristoffer Reitan,Kristoffer Reitan,0.0,E,70,0,,,70.0,0.0,0.4035947423439943,0.24215684540639656,0.0,17.24,40.952,75.35,0.0029,2.365,0.1161594133144384,0.1989767190528442,51.0,34.0
18,T15,Tom Kim,Tom Kim,0.0,E,70,0,,,70.0,0.0,0.4368036292763861,0.26208217756583163,0.0,17.44,41.258,75.82600000000001,0.00325,2.6,0.1201228695607456,0.2044212795515315,47.0,29.0
19,T15,Tommy Fleetwood,Tommy Fleetwood,0.0,E,70,0,,,70.0,0.0,1.2854080459135802,0.771244827548148,0.0,27.728,55.611999999999995,85.346,0.01795,10.08,0.2792780662104531,0.4126632952283153,11.0,-8.0
20,T15,Justin Thomas,Justin Thomas,0.0,E,71,49,,,120.0,-50.0,0.2108182066561212,-19.87350907600633,0.0,0.0,0.0,0.0,0.00205,1.6650000000000005,0.0925085377863673,0.1658901845625112,59.0,39.0
21,T15,Dustin Johnson,Dustin Johnson,0.0,E,66,58,,,124.0,-54.0,0.5897145325128506,-21.24617128049229,0.0,0.0,0.0,0.0,0.0045,3.5249999999999995,0.143228040413807,0.2375001346844378,39.0,18.0
22,T15,Niklas Nørgaard,Niklas Nørgaard,0.0,E,71,65,,,136.0,-66.0,0.0,-26.400000000000002,0.0,0.0,0.0,0.0,,,,,,
23,T15,Ryder Cowan,Ryder Cowan,0.0,E,68,72,,,140.0,-70.0,-0.5588941345093525,-28.33533648070561,0.0,0.0,0.0,0.0,0.00065,0.395,0.0353825253555696,0.0707573420894625,109.0,86.0
24,T15,William Mouw,William Mouw,0.0,E,70,70,,,140.0,-70.0,-0.1677735858803508,-28.10066415152821,0.0,0.0,0.0,0.0,0.00075,0.8049999999999999,0.0576990120150557,0.108251429995419,101.0,77.0
25,T25,Adrien Dumont de Chassart,Adrien Dumont de Chassart,1.0,+1,71,0,,,71.0,-1.0,-0.2764156099462871,-0.5658493659677722,0.0,4.106,15.134,45.706,0.00065,0.575,0.0510551055650014,0.0970105190577521,107.0,82.0
26,T25,Alex Fitzpatrick,Alex Fitzpatrick,1.0,+1,71,0,,,71.0,-1.0,1.2020996692061423,0.3212598015236854,0.0,12.753999999999998,34.239999999999995,69.73,0.0161,9.015,0.261082074888363,0.3932087097960288,13.0,-13.0
27,T25,Harry Higgs,Harry Higgs,1.0,+1,71,0,,,71.0,-1.0,-0.6354966380608619,-0.7812979828365172,0.0,3.0460000000000003,12.004,39.474,5e-05,0.29,0.031377507565895,0.0627745215925632,144.0,117.0
28,T25,James Nicholas,James Nicholas,1.0,+1,71,0,,,71.0,-1.0,-1.0971847262083188,-1.0583108357249913,0.0,1.794,8.516,31.976,5e-05,0.0849999999999999,0.0178624112034571,0.0375604873569083,145.0,117.0
