Id,year,date,name,course,City,State,Lat,Long,Course Par,Winning Score,CutLine,day0,day0low,day0high,day0avg,day0precip,day0wind,day1,day1low,day1high,day1avg,day1precip,day1wind,day2,day2low,day2high,day2avg,day2precip,day2wind
12014,2014,Oct 10 - 13,Frys.com Open,"CordeValle Golf Club - San Martin, CA. ",San Martin,CA,37.09,-121.59,71,-17,0,10/9/2014,53.6,84.2,68.18,0,11.7402,10/10/2014,55.4,78.8,64.4,0,12.5459,10/11/2014,53.6,84.2,65.84,0,6.2154
12015,2015,Oct 9 - 12,Frys.com Open,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-15,-1,10/8/2015,51.98,87.08,66.92,0,7.3664,10/9/2015,48.92,84.92,65.12,0,9.208,10/10/2015,57.2,77,64.04,0,11.0496
12016,2016,Oct 15 - 18,Frys.com Open,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-15,-2,10/14/2016,59,64.94,63.32,0,18.6462,10/15/2016,55.94,69.08,61.52,0.311023622,15.5385,10/16/2016,53.06,64.94,60.08,0,11.51
12017,2017,Oct 13 - 16,Safeway Open,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-18,-3,10/12/2017,41,71.06,54.32,0,8.5174,10/13/2017,35.06,73.94,53.78,0,5.2946,10/14/2017,42.08,80.96,62.42,0,9.0929
12019,2019,Oct 4 - 7,Safeway Open,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-14,-3,10/3/2019,41,71.96,56.12,0,13.6969,10/4/2019,41,73.94,57.56,0,11.51,10/5/2019,41,80.06,58.64,0,5.4097
12020,2020,Sep 12 - 15,A Military Tribute at The Greenbrier,"The Old White Course - White Sulphur Springs, WV. ",White Sulphur Springs,WV,37.8,-80.45,70,-21,-4,9/11/2020,66.2,80.6,72.14,0,5.2946,9/12/2020,66.38,71.6,69.44,0,5.1795,9/13/2020,64.4,77,68.9,0,5.5248
12022,2022,Sep 16 - 19,Fortinet Championship,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-19,-3,9/15/2022,50,75.02,62.96,0,13.5818,9/16/2022,51.08,78.98,63.5,0,11.7402,9/17/2022,51.98,75.92,62.78,0,17.8405
22009,2009,Jan 15 - 18,Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI. ",Honolulu,HI,21.3,-157.86,70,-15,1,1/14/2009,68,80.06,74.3,0.161417323,14.0422,1/15/2009,73.94,80.06,76.1,0.039370079,30.2713,1/16/2009,68,78.98,73.94,0.149606299,31.8827
22010,2010,Jan 14 - 17,Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI. ",Honolulu,HI,21.3,-157.86,70,-15,1,1/13/2010,60.98,82.04,72.14,0,14.5026,1/14/2010,62.96,75.92,70.7,0,17.8405,1/15/2010,60.98,80.06,71.06,0,14.0422
22013,2013,Jan 10 - 13,Sony Open in Hawaii,"Waialae Country Club - Honolulu, HI. ",Honolulu,HI,21.3,-157.86,70,-24,-2,1/9/2013,69.98,82.04,75.38,0,22.7898,1/10/2013,71.96,82.04,75.74,0,20.2576,1/11/2013,71.06,82.04,75.38,0,17.0348
22014,2014,Oct 17 - 20,Shriners Hospitals for Children Open,"TPC Summerlin - Las Vegas, NV. ",Las Vegas,NV,36.17,-115.15,71,-24,-3,10/16/2014,60.98,82.94,72.5,0,10.359,10/17/2014,60.98,82.04,71.42,0,10.4741,10/18/2014,66.92,82.94,73.4,0,4.2587
22015,2015,Oct 16 - 19,Shriners Hospitals for Children Open,"TPC Summerlin - Las Vegas, NV. ",Las Vegas,NV,36.17,-115.15,71,-20,-2,10/15/2015,71.06,87.98,80.24,0,19.4519,10/16/2015,71.06,78.98,74.84,0.059055118,26.0126,10/17/2015,64.94,78.08,71.06,0.338582677,5.9852
22016,2016,Oct 22 - 25,Shriners Hospitals for Children Open,"TPC Summerlin - Las Vegas, NV. ",Las Vegas,NV,36.17,-115.15,71,-16,-2,10/21/2016,53.96,82.94,68.54,0,7.9419,10/22/2016,55.94,87.98,71.78,0,9.5533,10/23/2016,62.06,82.94,71.42,0.070866142,10.359
22020,2020,Sep 19 - 22,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS. ",Jackson,MS,32.31,-90.2,72,-18,-3,9/18/2020,53.96,69.08,63.32,0,0,9/19/2020,46.04,69.98,57.38,0,0.8057,9/20/2020,48.92,71.06,58.64,0,2.5322
32015,2015,Oct 23 - 26,The McGladrey Classic,"Sea Island Resort (Seaside Course) - Saint Simons Island, GA. ",Saint Simons Island,GA,31.22,-81.36,70,-14,0,10/22/2015,68,78.98,71.6,0,16.114,10/23/2015,66.92,78.98,71.6,0,13.812,10/24/2015,59,78.98,69.98,0,11.0496
32020,2020,Sep 26 - 29,Safeway Open,"Silverado Resort and Spa (North Course) - Napa, CA. ",Napa,CA,38.3,-122.29,72,-17,-2,9/25/2020,48.02,78.98,65.48,0,13.2365,9/26/2020,53.96,86,69.98,0,8.5174,9/27/2020,62.96,100.04,77,0,9.7835
42009,2009,Jan 29 - Feb 1,FBR Open,"TPC Scottsdale (Stadium Course) - Scottsdale, AZ. ",Scottsdale,AZ,33.49,-111.93,71,-14,0,1/28/2009,37.04,62.06,49.28,0,2.5322,1/29/2009,37.94,71.06,55.58,0,7.8268,1/30/2009,50,75.02,62.06,0,5.5248
42010,2010,Jan 28 - 31,Farmers Insurance Open,"Torrey Pines (North Course) - La Jolla, CA. Torrey Pines (South Course) - La Jolla, CA. ",La Jolla,CA,32.84,-117.27,72,-13,-2,1/27/2010,48.02,64.04,56.48,0,8.2872,1/28/2010,44.06,64.94,53.78,0.019685039,7.4815,1/29/2010,46.04,64.94,54.14,0,7.4815
42013,2013,Jan 24 - 28,Farmers Insurance Open,"Torrey Pines (North Course) - La Jolla, CA. Torrey Pines (South Course) - La Jolla, CA. ",La Jolla,CA,32.84,-117.27,72,-14,-1,1/23/2013,57.02,80.06,66.56,0,10.8194,1/24/2013,57.92,69.98,63.14,0.011811024,6.2154,1/25/2013,59,64.04,61.34,0.779527559,7.8268
